,Timestamp,Lap_Number,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Collision_Target,Path_Deviation,Estimated_Path_Center(x),Estimated_Path_Center(y),Estimated_Path_Center(z),Gaze_Target,Gaze_Location(x),Gaze_Location(y),Gaze_Location(z),Gaze_Through_Gate,Norm_Pos(x),Norm_Pos(y),Left_X,Left_Y,Right_X,Right_Y,FPS,gaze_timestamp,world_index,average_confidence,norm_pos_x,norm_pos_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,UnixTime_Converted,Nearest_Unix,confidence0,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,confidence1,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
0,1638916674013,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-261.5268,277.3008,-81.6852,,0.4532,0.3578,0.0,0.0,0.0,0.0,89.79522,3507.059718392848,1040.4841565105837,0.9489021494963084,0.49574251398804786,0.46383005995847676,102.8924232498868,376.6808625387366,8349.245796207975,1638916640077.0293,1638916674013.0002,0.950932594870292,30.881183309222934,-2.8050136976397235,-3.003883398130226,8.96048955198607e-05,0.020929669746769918,0.9759084908393413,0.9520456732041366,-30.824857066878273,-2.085696351955564,-2.135384074010267,-0.004959433482977766,0.020041761501075027,0.9698898099038231
1,1638916674024,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-261.5677,277.354,-81.4879,,0.453,0.358,0.0,0.0,0.0,0.0,89.79522,3541.01094225,2059.0,1.0,0.45474032922878727,0.3546019509384903,-282.4366010491809,504.8386313702426,4836.887323310371,1638916674028.2534,1638916674024.0,1.0,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.05154146593253561,0.0874701891606257,0.9948256836109158,1.0,-30.864593296617173,-2.1141595953206505,-2.1849180623766102,-0.06373340452854569,0.11908123477248907,0.9908364492412266
2,1638916674046,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-261.8232,277.8746,-79.5206,,0.452,0.3607,0.0,0.0,0.0,0.0,90.18719,3541.0269382500005,2059.5,0.9824762865900993,0.4333927095793916,0.35824108827502377,-916.5861895173587,1027.9863839420188,10110.343617001196,1638916674044.249,1638916674046.0,0.9824762865900993,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.0783842326536152,0.08251254240131295,0.9933916249801613,0.9824762865900993,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.09087399052899843,0.11842032336512708,0.9887549849993704
3,1638916674057,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-261.8232,277.8746,-79.5206,,0.452,0.3607,0.0,0.0,0.0,0.0,90.18719,3541.04293925,2060.0,0.9231177046895027,0.415655947042578,0.3462895244496161,-543.4245056865296,557.9210686180453,5049.329400842256,1638916674060.2505,1638916674057.0,0.9231177046895027,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.10136799596601198,0.08647904617164595,0.9910792892026967,0.9231177046895027,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.11227749033066947,0.13097027288729624,0.9850014263707322
4,1638916674079,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-261.8987,278.0201,-79.9854,,0.4512,0.3637,0.0,0.0,0.0,0.0,90.19816,3541.059024125,2060.5,0.9080971479415894,0.4134113737694013,0.3455433841275878,-381.90134291643153,383.1586156313019,3445.537899157127,1638916674076.335,1638916674079.0,0.9080971479415894,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.10185674077193814,0.08693610883349213,0.9909920507179388,0.9080971479415894,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.11750622164184912,0.13102724405106012,0.9843890671164633
5,1638916674090,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-261.8987,278.0201,-79.9854,,0.4512,0.3637,0.0,0.0,0.0,0.0,90.19816,3541.0749157500004,2061.0,0.8892896771430969,0.4141670505508447,0.3485722166607329,-385.5956289539747,382.6440247456453,3509.4033988525416,1638916674092.2266,1638916674090.0,0.8892896771430969,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.10110025583812018,0.08438017719413575,0.9912898748902154,0.8892896771430969,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.11641414879885242,0.12937164640250998,0.9847385549056797
6,1638916674112,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-261.9829,278.0277,-80.0703,,0.4506,0.3639,0.0,0.0,0.0,0.0,88.9751,3541.090899875,2061.25,0.916206605732441,0.41280283103035,0.34776760680493424,-510.7193712645818,501.0782813507396,4568.239160277562,1638916674108.211,1638916674112.0,0.916206605732441,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.10452372196215845,0.08444080110724606,0.9909271792377425,0.916206605732441,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.1163018310780437,0.1307458539693385,0.9845698948647067
7,1638916674123,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-262.5981,279.9556,-72.2679,,0.4498,0.3718,0.0,0.0,0.0,0.0,88.9751,3541.1068961250003,2062.0,0.8905965238809586,0.4117331868456444,0.34207351094050376,-529.0928540257521,532.4525314593824,4679.379466587112,1638916674124.207,1638916674123.0,0.8905965238809586,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.1062208152722692,0.08415583040975272,0.9907733915643756,0.8905965238809586,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.11714207361651131,0.13903320876923048,0.983333411312304
8,1638916674145,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-262.2864,280.0213,-72.3574,,0.452,0.3728,0.0,0.0,0.0,0.0,90.30936,3541.1238950000006,2062.25,0.927829883992672,0.4157817775957563,0.3364057560872169,-494.0297843111441,536.2938559325127,4567.956680669657,1638916674141.206,1638916674145.0,0.927829883992672,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.10069254176775266,0.09186705947726012,0.9906487098768318,0.927829883992672,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.1124846959682195,0.13937226973002204,0.9838274901325498
9,1638916674156,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-262.2864,280.0213,-72.3574,,0.452,0.3728,0.0,0.0,0.0,0.0,90.30936,3541.1409207500005,2063.0,0.946059063076973,0.41781159889326414,0.3255231774754328,-369.4360344640558,437.95763453080343,3500.721240217819,1638916674158.2317,1638916674156.0,0.946059063076973,30.147162314152908,-4.658705941018897,-5.175807074207494,-0.09577001001382471,0.1066634726289675,0.9896401059024371,0.946059063076973,-30.90773497316431,-2.115362579493965,-2.086481303758269,-0.11226280267721024,0.13952667650289238,0.9838338728260965
