,Timestamp,Lap_Number,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Collision_Target,Path_Deviation,Estimated_Path_Center(x),Estimated_Path_Center(y),Estimated_Path_Center(z),Gaze_Target,Gaze_Location(x),Gaze_Location(y),Gaze_Location(z),Gaze_Through_Gate,Norm_Pos(x),Norm_Pos(y),Left_X,Left_Y,Right_X,Right_Y,FPS,gaze_timestamp,world_index,average_confidence,norm_pos_x,norm_pos_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,UnixTime_Converted,Nearest_Unix,confidence0,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,confidence1,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
0,1638916836831,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-257.2742,278.482,-84.1955,,0.4854,0.3796,0.0,0.0,0.0,0.0,89.49025999999999,3671.779150844172,962.7400136332652,0.9440687359939256,0.4974147666364466,0.49676457520446615,361.01394799432035,54.572792469179376,15703.041281825463,1638916804730.5715,1638916836830.9998,0.9449224210641051,31.13397551012079,-2.0791026713590197,-2.5963915881700066,-0.01407385177721183,0.006769224438201832,0.9707981368249331,0.946421409448855,-32.36132111510405,1.9324447763124306,2.6015033027643937,0.0070948924364056115,-0.007757155443517551,0.9668166962092646
1,1638916836853,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-257.3281,277.5131,-83.8906,,0.485,0.3656,0.0,0.0,0.0,0.0,86.82365,3703.8989765000006,1926.2,1.0,0.47838115579716434,0.37345361217195405,-20.943214220935953,68.94061121274294,756.7143504623261,1638916836850.397,1638916836853.0,1.0,30.57514033277709,-3.288795494731467,-3.945760788604538,-0.0670295232984426,0.09915822841740553,0.9928095479061311,1.0,-32.63294020107716,0.6584690490857099,1.7775691824751725,0.01518858826134747,0.08524276020246799,0.9962410547896152
2,1638916836865,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.6472,276.3035,-87.2205,,0.4899,0.3563,0.0,0.0,0.0,0.0,86.82365,3703.91698575,1927.0,1.0,0.4763227868759635,0.36905447667796915,-22.143363973674468,69.00138055875652,731.7602907331544,1638916836868.4067,1638916836865.0,1.0,30.57514033277709,-3.288795494731467,-3.945760788604538,-0.07108624173954585,0.09994253240617836,0.9924417749362845,1.0,-32.63294020107716,0.6584690490857099,1.7775691824751725,0.014173843993900169,0.09077487740225623,0.9957584072049958
3,1638916836887,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.1091,274.8361,-88.3658,,0.4942,0.3377,0.0,0.0,0.0,0.0,90.67539000000001,3703.9349912,1927.4,0.915,0.4349637290659851,0.3689464279516802,-106.2992953929839,154.7755208595448,1642.895153252283,1638916836886.4116,1638916836887.0,0.915,30.57514033277709,-3.288795494731467,-3.945760788604538,-0.10057247215679503,0.10247733196929729,0.9878507978674183,0.915,-32.63294020107716,0.6584690490857099,1.7775691824751725,-0.062170146771926595,0.08601632755554013,0.9936840274861496
4,1638916836910,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.3564,275.6075,-87.3665,,0.4922,0.3466,0.0,0.0,0.0,0.0,90.69719,3703.95310925,1928.0,0.9608990439772607,0.36044840843773107,0.3727213043731367,-153.47618640106737,78.40345686052123,856.5279776515048,1638916836904.53,1638916836910.0,0.9608990439772607,30.57514033277709,-3.288795494731467,-3.945760788604538,-0.207491201072624,0.10558709390635407,0.9724959764135633,0.9608990439772607,-32.63294020107716,0.6584690490857099,1.7775691824751725,-0.13899919155192697,0.07678998591433556,0.9872365620307655
5,1638916836921,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.3564,275.6075,-87.3665,,0.4922,0.3466,0.0,0.0,0.0,0.0,90.69719,3703.9710475,1928.5,0.9564579874277115,0.3625102560413241,0.3790418827959475,-219.65714654600023,108.79739955969947,1250.4431762355005,1638916836922.4683,1638916836921.0,0.9564579874277115,30.57514033277709,-3.288795494731467,-3.945760788604538,-0.1948080215685275,0.0978577736521877,0.975931466479472,0.9564579874277115,-32.63294020107716,0.6584690490857099,1.7775691824751725,-0.14821781012090757,0.07492934800423987,0.986111008433451
6,1638916836943,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.3667,275.6258,-87.3431,,0.4922,0.3468,0.0,0.0,0.0,0.0,88.83717,3703.987051375,1929.0,0.9157123267650604,0.3707192184183965,0.38402924175385034,-257.19226492432546,129.86246248498998,1557.3751121089585,1638916836938.4722,1638916836943.0,0.9157123267650604,30.57514033277709,-3.288795494731467,-3.945760788604538,-0.18070320898685793,0.09193750664520559,0.979213571786109,0.9157123267650604,-32.63294020107716,0.6584690490857099,1.7775691824751725,-0.14290213318681766,0.07378972373990439,0.9869795519854664
7,1638916836953,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.3297,276.0253,-89.7128,,0.4923,0.358,0.0,0.0,0.0,0.0,88.83717,3704.0070096666664,1929.6666666666667,0.9625387887159983,0.3783352227891525,0.38536509172210237,-458.5592201290624,245.47765974487038,2951.977982332639,1638916836958.4304,1638916836953.0,0.9625387887159983,30.575140332777092,-3.288795494731467,-3.945760788604538,-0.16339752644711716,0.08256658812453026,0.9830891674821244,0.9625387887159983,-32.63294020107716,0.6584690490857099,1.7775691824751725,-0.14243386311729664,0.08083822402172351,0.9864626673365023
8,1638916836987,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.0842,276.126,-89.8724,,0.4943,0.3599,0.0,0.0,0.0,0.0,90.43553,3704.02701,1930.0,0.91914501786232,0.38308603995783946,0.3625061900273793,-703.9658735737728,463.9308314826143,4704.4604072681595,1638916836978.431,1638916836987.0,0.91914501786232,30.57514033277709,-3.288795494731467,-3.945760788604538,-0.15385266919112278,0.09067430379414429,0.9839170439772758,0.91914501786232,-32.63294020107716,0.6584690490857099,1.7775691824751725,-0.14020470916014,0.10470007062624855,0.9845551225130598
9,1638916836988,0,-255.4,261.0,-182.9,0.0,0.0,0.0,,2.3692,0.0,0.0,0.0,_Sp_PW_Tree_Spruce_01,-256.0842,276.126,-89.8724,,0.4943,0.3599,0.0,0.0,0.0,0.0,90.43553,3704.0410556666666,1930.6666666666667,0.9577422042687734,0.38562405458548277,0.35315437774622854,-1154.769734856431,833.9613997983197,7888.28375001049,1638916836992.4766,1638916836988.0,0.9577422042687734,30.575140332777085,-3.288795494731467,-3.945760788604538,-0.1480303952610489,0.09875609532553843,0.9840396602064597,0.9577422042687734,-32.63294020107716,0.6584690490857099,1.7775691824751725,-0.13980175348711382,0.10963157333962571,0.9840900498594581
