ObjectName,HoopNumber,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Point1x,Point1y,Point2x,Point2y,RotatedPoint1x,RotatedPoint1y,RotatedPoint2x,RotatedPoint2y,Direction
RoundGate 31,32,258.6234,332.094,-394.5184,0,0.698131565186488,0,263.122912540616,-389.156088287983,254.123887459384,-399.880711712017,253.261088287983,-390.018887459384,263.985711712017,-399.017912540616,R
RoundGate 32,33,242.5122,308.03,-471.5578,0,0.0698133384591958,0,243.000496491994,-464.5748517304,242.023903508006,-478.5407482696,235.5292517304,-471.069503508006,249.4951482696,-472.046096491994,R
RoundGate 33,34,192.9994,301.16,-495.7828,0,0.52359889526031,0,196.499400725412,-489.720622592326,189.499399274588,-501.844977407674,186.937222592326,-492.282799274588,199.061577407674,-499.282800725412,R
RoundGate 34,35,90.24187,300.3422,-483.8086,0,1.13446394148761,0,96.5860242953437,-480.850271709078,83.8977157046563,-486.766928290923,87.2835417090775,-477.464445704656,93.2001982909225,-490.152754295344,S
RoundGate 35,36,2.99963,288.27,-466.3043,0,0.349065878067736,0,5.39377118528131,-459.726451720742,0.605488814718688,-472.882148279258,-3.57821827925821,-463.910158814719,9.57747827925821,-468.698441185281,L
RoundGate 36,37,-106.4704,275.88,-529.1442,0,0.349065878067736,0,-104.076258814719,-522.566351720742,-108.864541185281,-535.722048279258,-113.048248279258,-526.750058814719,-99.8925517207418,-531.538341185281,L
RoundGate 37,38,-190.6684,275.8897,-513.6834,0,0.872664599865823,0,-185.306089015745,-509.18388659207,-196.030710984255,-518.18291340793,-195.16791340793,-508.321089015745,-186.16888659207,-519.045710984255,R
RoundGate 38,39,-252.54,263.43,-480.401,0,1.5707963267949,0,-245.54,-480.401,-259.54,-480.401,-252.54,-473.401,-252.54,-487.401,R
RoundGate 39,40,-302.1259,270.9836,-433.5335,0,1.30899682027063,0,-295.364419431075,-431.721765881525,-308.887380568925,-435.345234118475,-303.937634118475,-426.772019431075,-300.314165881525,-440.294980568925,R
RoundGate 40,41,-306.9411,264.77,-368.3596,0,0.785398051940941,0,-301.991353083376,-363.409851980013,-311.890846916624,-373.309348019987,-311.890848019987,-363.409853083376,-301.991351980013,-373.309346916624,R
RoundGate 41,42,-267.6271,266.98,-237.2528,0,0.349066075029273,0,-265.232957519136,-230.674952192296,-270.021242480864,-243.830647807704,-274.204947807704,-234.858657519136,-261.049252192296,-239.646942480864,S
